Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2020-01-02,PNR,46.08000183105469,46.43000030517578,45.79999923706055,46.41999816894531,42.56876373291016,791000
2020-01-03,PNR,45.56999969482422,46.040000915527344,45.56999969482422,45.97999954223633,42.16527938842773,1023700
2020-01-06,PNR,45.59999847412109,45.88999938964844,45.36000061035156,45.65999984741211,41.87181854248047,794100
2020-01-07,PNR,45.65999984741211,45.68999862670898,45.18000030517578,45.2599983215332,41.505008697509766,1009300
2020-01-08,PNR,45.470001220703125,45.83000183105469,45.16999816894531,45.43000030517578,41.6609001159668,941000
2020-01-09,PNR,45.650001525878906,45.7599983215332,45.4900016784668,45.70000076293945,41.90849304199219,527500
2020-01-10,PNR,45.790000915527344,45.88999938964844,45.119998931884766,45.2599983215332,41.505008697509766,764400
2020-01-13,PNR,45.400001525878906,45.9900016784668,45.25,45.95000076293945,42.13775634765625,1026700
2020-01-14,PNR,45.86000061035156,45.91999816894531,45.47999954223633,45.58000183105469,41.798458099365234,726700
2020-01-15,PNR,45.540000915527344,45.91999816894531,45.540000915527344,45.84000015258789,42.03688049316406,764600
2020-01-16,PNR,46.43999862670898,47.15999984741211,46.34000015258789,46.709999084472656,42.83470916748047,1097200
2020-01-17,PNR,46.91999816894531,47.43000030517578,46.84999847412109,47.290000915527344,43.366580963134766,1171900
2020-01-21,PNR,47.04999923706055,47.09000015258789,46.5099983215332,46.720001220703125,42.843875885009766,1089600
2020-01-22,PNR,47.06999969482422,47.18999862670898,46.34000015258789,46.459999084472656,42.60543823242188,899600
2020-01-23,PNR,46.02000045776367,46.77999877929688,45.59999847412109,46.77999877929688,43.07505416870117,1115400
2020-01-24,PNR,46.790000915527344,46.86000061035156,45.970001220703125,46.20000076293945,42.54098510742188,747600
2020-01-27,PNR,45.209999084472656,45.45000076293945,44.650001525878906,44.880001068115234,41.32553482055664,2189800
2020-01-28,PNR,44.9900016784668,45.33000183105469,43.880001068115234,44.27999877929688,40.7730598449707,2019500
2020-01-29,PNR,44.650001525878906,44.650001525878906,43.650001525878906,43.720001220703125,40.25740432739258,1445400
2020-01-30,PNR,43.29999923706055,44.290000915527344,43.29999923706055,44.27000045776367,40.76385116577149,1344100
2020-01-31,PNR,43.970001220703125,44.25,42.77000045776367,42.93000030517578,39.529972076416016,3088900
2020-02-03,PNR,43.380001068115234,44.02999877929688,43.060001373291016,43.36000061035156,39.9259147644043,1096800
2020-02-04,PNR,44.20000076293945,44.5,43.869998931884766,43.93000030517578,40.450775146484375,1304100
2020-02-05,PNR,44.619998931884766,44.720001220703125,44.33000183105469,44.68000030517578,41.1413688659668,1493500
2020-02-06,PNR,44.77999877929688,44.79999923706055,44.08000183105469,44.34999847412109,40.8375129699707,902200
2020-02-07,PNR,43.91999816894531,44.09000015258789,43.619998931884766,43.63999938964844,40.18373489379883,878900
2020-02-10,PNR,43.47999954223633,43.91999816894531,43.29999923706055,43.84000015258789,40.36790084838867,1068600
2020-02-11,PNR,44.0099983215332,44.5,43.900001525878906,44.27000045776367,40.76385116577149,697500
